2025-03-05 14:23:57,858 - Virtual Machine 1 initialized
2025-03-05 14:23:57,858 - Clock Rate: 1 ticks/second
2025-03-05 14:23:57,858 - Listening on port: 10000
2025-03-05 14:23:57,858 - Peer ports: [10001, 10002]
2025-03-05 14:23:58,384 - Accepted connection from ('127.0.0.1', 51236)
2025-03-05 14:23:58,865 - Connected to peer on port 10001
2025-03-05 14:23:58,890 - Accepted connection from ('127.0.0.1', 51240)
2025-03-05 14:23:59,872 - Connected to peer on port 10002
2025-03-05 14:23:59,874 - Network initialization completed
2025-03-05 14:23:59,874 - Starting main event loop
2025-03-05 14:23:59,874 - Clock rate: 1 ticks/second
2025-03-05 14:23:59,874 - RECEIVE - System Time: 2025-03-05 14:23:59.874332, Logical Clock: 2, Queue Length: 1, From: Machine 2
2025-03-05 14:24:00,884 - RECEIVE - System Time: 2025-03-05 14:24:00.884121, Logical Clock: 4, Queue Length: 1, From: Machine 2
2025-03-05 14:24:01,887 - RECEIVE - System Time: 2025-03-05 14:24:01.887508, Logical Clock: 6, Queue Length: 1, From: Machine 3
2025-03-05 14:24:02,891 - RECEIVE - System Time: 2025-03-05 14:24:02.891784, Logical Clock: 13, Queue Length: 0, From: Machine 2
2025-03-05 14:24:03,896 - RECEIVE - System Time: 2025-03-05 14:24:03.896672, Logical Clock: 17, Queue Length: 1, From: Machine 3
2025-03-05 14:24:04,901 - RECEIVE - System Time: 2025-03-05 14:24:04.901931, Logical Clock: 23, Queue Length: 2, From: Machine 2
2025-03-05 14:24:05,903 - RECEIVE - System Time: 2025-03-05 14:24:05.903191, Logical Clock: 30, Queue Length: 3, From: Machine 2
2025-03-05 14:24:06,905 - RECEIVE - System Time: 2025-03-05 14:24:06.905057, Logical Clock: 33, Queue Length: 3, From: Machine 2
2025-03-05 14:24:07,910 - RECEIVE - System Time: 2025-03-05 14:24:07.910409, Logical Clock: 39, Queue Length: 3, From: Machine 2
2025-03-05 14:24:08,911 - RECEIVE - System Time: 2025-03-05 14:24:08.911693, Logical Clock: 40, Queue Length: 4, From: Machine 2
2025-03-05 14:24:09,916 - RECEIVE - System Time: 2025-03-05 14:24:09.916569, Logical Clock: 45, Queue Length: 4, From: Machine 2
2025-03-05 14:24:10,921 - RECEIVE - System Time: 2025-03-05 14:24:10.921735, Logical Clock: 51, Queue Length: 4, From: Machine 2
2025-03-05 14:24:11,926 - RECEIVE - System Time: 2025-03-05 14:24:11.926914, Logical Clock: 54, Queue Length: 6, From: Machine 2
2025-03-05 14:24:12,932 - RECEIVE - System Time: 2025-03-05 14:24:12.932244, Logical Clock: 57, Queue Length: 6, From: Machine 2
2025-03-05 14:24:13,937 - RECEIVE - System Time: 2025-03-05 14:24:13.937466, Logical Clock: 60, Queue Length: 5, From: Machine 2
2025-03-05 14:24:14,942 - RECEIVE - System Time: 2025-03-05 14:24:14.942817, Logical Clock: 64, Queue Length: 7, From: Machine 2
2025-03-05 14:24:15,943 - RECEIVE - System Time: 2025-03-05 14:24:15.943748, Logical Clock: 67, Queue Length: 7, From: Machine 3
2025-03-05 14:24:16,949 - RECEIVE - System Time: 2025-03-05 14:24:16.949088, Logical Clock: 70, Queue Length: 6, From: Machine 2
2025-03-05 14:24:17,950 - RECEIVE - System Time: 2025-03-05 14:24:17.950343, Logical Clock: 75, Queue Length: 5, From: Machine 2
2025-03-05 14:24:18,951 - RECEIVE - System Time: 2025-03-05 14:24:18.951839, Logical Clock: 77, Queue Length: 5, From: Machine 2
2025-03-05 14:24:19,963 - RECEIVE - System Time: 2025-03-05 14:24:19.963070, Logical Clock: 90, Queue Length: 6, From: Machine 2
2025-03-05 14:24:20,968 - RECEIVE - System Time: 2025-03-05 14:24:20.968890, Logical Clock: 91, Queue Length: 8, From: Machine 2
2025-03-05 14:24:21,974 - RECEIVE - System Time: 2025-03-05 14:24:21.974309, Logical Clock: 92, Queue Length: 9, From: Machine 2
2025-03-05 14:24:22,979 - RECEIVE - System Time: 2025-03-05 14:24:22.979495, Logical Clock: 96, Queue Length: 9, From: Machine 2
2025-03-05 14:24:23,984 - RECEIVE - System Time: 2025-03-05 14:24:23.983979, Logical Clock: 112, Queue Length: 11, From: Machine 2
2025-03-05 14:24:24,985 - RECEIVE - System Time: 2025-03-05 14:24:24.985331, Logical Clock: 119, Queue Length: 10, From: Machine 2
2025-03-05 14:24:25,989 - RECEIVE - System Time: 2025-03-05 14:24:25.988954, Logical Clock: 120, Queue Length: 11, From: Machine 2
2025-03-05 14:24:26,991 - RECEIVE - System Time: 2025-03-05 14:24:26.991059, Logical Clock: 121, Queue Length: 12, From: Machine 3
2025-03-05 14:24:28,000 - RECEIVE - System Time: 2025-03-05 14:24:27.996208, Logical Clock: 124, Queue Length: 13, From: Machine 2
