2025-03-01 14:37:25,107 - Virtual Machine 3 initialized
2025-03-01 14:37:25,107 - Clock Rate: 1 ticks/second
2025-03-01 14:37:25,107 - Listening on port: 10002
2025-03-01 14:37:25,107 - Peer ports: [10000, 10001]
2025-03-01 14:37:25,109 - Network initialization completed
2025-03-01 14:37:25,109 - Starting main event loop
2025-03-01 14:37:25,109 - Clock rate: 1 ticks/second
2025-03-01 14:37:25,109 - INTERNAL - System Time: 2025-03-01 14:37:25.109902, Logical Clock: 1
2025-03-01 14:37:25,276 - Accepted connection from ('127.0.0.1', 59583)
2025-03-01 14:37:25,623 - Accepted connection from ('127.0.0.1', 59585)
2025-03-01 14:37:26,115 - INTERNAL - System Time: 2025-03-01 14:37:26.115324, Logical Clock: 2
2025-03-01 14:37:27,120 - RECEIVE - System Time: 2025-03-01 14:37:27.120263, Logical Clock: 6, Queue Length: 0, From: Machine 1
2025-03-01 14:37:28,124 - RECEIVE - System Time: 2025-03-01 14:37:28.123968, Logical Clock: 7, Queue Length: 0, From: Machine 2
2025-03-01 14:37:29,127 - RECEIVE - System Time: 2025-03-01 14:37:29.127409, Logical Clock: 13, Queue Length: 0, From: Machine 2
2025-03-01 14:37:30,132 - No connection to port 10000
2025-03-01 14:37:30,133 - No connection to port 10001
2025-03-01 14:37:31,138 - INTERNAL - System Time: 2025-03-01 14:37:31.138417, Logical Clock: 15
2025-03-01 14:37:32,142 - RECEIVE - System Time: 2025-03-01 14:37:32.142563, Logical Clock: 20, Queue Length: 1, From: Machine 1
2025-03-01 14:37:33,152 - RECEIVE - System Time: 2025-03-01 14:37:33.152030, Logical Clock: 22, Queue Length: 1, From: Machine 1
2025-03-01 14:37:34,157 - RECEIVE - System Time: 2025-03-01 14:37:34.157352, Logical Clock: 25, Queue Length: 1, From: Machine 1
2025-03-01 14:37:35,159 - RECEIVE - System Time: 2025-03-01 14:37:35.159145, Logical Clock: 27, Queue Length: 3, From: Machine 2
2025-03-01 14:37:36,160 - RECEIVE - System Time: 2025-03-01 14:37:36.159824, Logical Clock: 30, Queue Length: 3, From: Machine 2
2025-03-01 14:37:37,162 - RECEIVE - System Time: 2025-03-01 14:37:37.162532, Logical Clock: 31, Queue Length: 3, From: Machine 1
2025-03-01 14:37:38,167 - RECEIVE - System Time: 2025-03-01 14:37:38.167815, Logical Clock: 32, Queue Length: 4, From: Machine 2
2025-03-01 14:37:39,169 - RECEIVE - System Time: 2025-03-01 14:37:39.169378, Logical Clock: 35, Queue Length: 5, From: Machine 2
