2025-03-02 07:46:00,437 - Virtual Machine 3 initialized
2025-03-02 07:46:00,437 - Clock Rate: 1 ticks/second
2025-03-02 07:46:00,437 - Listening on port: 10002
2025-03-02 07:46:00,437 - Peer ports: [10000, 10001]
2025-03-02 07:46:00,450 - Network initialization completed
2025-03-02 07:46:00,450 - Starting main event loop
2025-03-02 07:46:00,450 - Clock rate: 1 ticks/second
2025-03-02 07:46:00,450 - No connection to port 10001
2025-03-02 07:46:00,496 - Accepted connection from ('127.0.0.1', 49588)
2025-03-02 07:46:00,948 - Accepted connection from ('127.0.0.1', 49591)
2025-03-02 07:46:01,455 - RECEIVE - System Time: 2025-03-02 07:46:01.455535, Logical Clock: 2, Queue Length: 1, From: Machine 1
2025-03-02 07:46:02,459 - RECEIVE - System Time: 2025-03-02 07:46:02.459085, Logical Clock: 4, Queue Length: 1, From: Machine 2
2025-03-02 07:46:03,464 - RECEIVE - System Time: 2025-03-02 07:46:03.464282, Logical Clock: 6, Queue Length: 0, From: Machine 1
2025-03-02 07:46:04,468 - RECEIVE - System Time: 2025-03-02 07:46:04.468434, Logical Clock: 12, Queue Length: 0, From: Machine 1
2025-03-02 07:46:05,473 - RECEIVE - System Time: 2025-03-02 07:46:05.473609, Logical Clock: 15, Queue Length: 1, From: Machine 1
2025-03-02 07:46:06,479 - RECEIVE - System Time: 2025-03-02 07:46:06.479068, Logical Clock: 20, Queue Length: 2, From: Machine 2
2025-03-02 07:46:07,481 - RECEIVE - System Time: 2025-03-02 07:46:07.481671, Logical Clock: 21, Queue Length: 2, From: Machine 2
2025-03-02 07:46:08,487 - RECEIVE - System Time: 2025-03-02 07:46:08.487080, Logical Clock: 22, Queue Length: 3, From: Machine 1
2025-03-02 07:46:09,489 - RECEIVE - System Time: 2025-03-02 07:46:09.489399, Logical Clock: 23, Queue Length: 3, From: Machine 1
2025-03-02 07:46:10,495 - RECEIVE - System Time: 2025-03-02 07:46:10.495664, Logical Clock: 24, Queue Length: 3, From: Machine 1
2025-03-02 07:46:11,499 - RECEIVE - System Time: 2025-03-02 07:46:11.499730, Logical Clock: 25, Queue Length: 3, From: Machine 1
2025-03-02 07:46:12,505 - RECEIVE - System Time: 2025-03-02 07:46:12.504993, Logical Clock: 36, Queue Length: 5, From: Machine 2
2025-03-02 07:46:13,509 - RECEIVE - System Time: 2025-03-02 07:46:13.508968, Logical Clock: 38, Queue Length: 6, From: Machine 2
2025-03-02 07:46:14,514 - RECEIVE - System Time: 2025-03-02 07:46:14.514343, Logical Clock: 39, Queue Length: 7, From: Machine 1
2025-03-02 07:46:15,519 - RECEIVE - System Time: 2025-03-02 07:46:15.519618, Logical Clock: 40, Queue Length: 8, From: Machine 1
2025-03-02 07:46:16,524 - RECEIVE - System Time: 2025-03-02 07:46:16.524672, Logical Clock: 41, Queue Length: 8, From: Machine 1
2025-03-02 07:46:17,527 - RECEIVE - System Time: 2025-03-02 07:46:17.527629, Logical Clock: 42, Queue Length: 8, From: Machine 1
2025-03-02 07:46:18,528 - RECEIVE - System Time: 2025-03-02 07:46:18.528557, Logical Clock: 43, Queue Length: 9, From: Machine 1
2025-03-02 07:46:19,533 - RECEIVE - System Time: 2025-03-02 07:46:19.533358, Logical Clock: 51, Queue Length: 8, From: Machine 2
2025-03-02 07:46:20,535 - RECEIVE - System Time: 2025-03-02 07:46:20.534904, Logical Clock: 52, Queue Length: 8, From: Machine 1
2025-03-02 07:46:21,536 - RECEIVE - System Time: 2025-03-02 07:46:21.536763, Logical Clock: 55, Queue Length: 9, From: Machine 2
2025-03-02 07:46:22,541 - RECEIVE - System Time: 2025-03-02 07:46:22.541444, Logical Clock: 56, Queue Length: 10, From: Machine 1
2025-03-02 07:46:23,544 - RECEIVE - System Time: 2025-03-02 07:46:23.543825, Logical Clock: 57, Queue Length: 10, From: Machine 1
2025-03-02 07:46:24,545 - RECEIVE - System Time: 2025-03-02 07:46:24.545312, Logical Clock: 62, Queue Length: 10, From: Machine 2
