2025-03-04 06:59:13,724 - Virtual Machine 3 initialized
2025-03-04 06:59:13,724 - Clock Rate: 1 ticks/second
2025-03-04 06:59:13,724 - Listening on port: 10002
2025-03-04 06:59:13,724 - Peer ports: [10000, 10001]
2025-03-04 06:59:13,726 - Connected to peer on port 10000
2025-03-04 06:59:13,727 - Connected to peer on port 10001
2025-03-04 06:59:13,727 - Network initialization completed
2025-03-04 06:59:13,727 - Starting main event loop
2025-03-04 06:59:13,727 - Clock rate: 1 ticks/second
2025-03-04 06:59:13,727 - INTERNAL - System Time: 2025-03-04 06:59:13.727136, Logical Clock: 1
2025-03-04 06:59:13,797 - Accepted connection from ('127.0.0.1', 49810)
2025-03-04 06:59:14,169 - Accepted connection from ('127.0.0.1', 49812)
2025-03-04 06:59:14,732 - SEND - System Time: 2025-03-04 06:59:14.732420, Logical Clock: 2, To: Machine on port 10000
2025-03-04 06:59:15,733 - SEND - System Time: 2025-03-04 06:59:15.733420, Logical Clock: 3, To: Machine on port 10001
2025-03-04 06:59:16,738 - SEND - System Time: 2025-03-04 06:59:16.738779, Logical Clock: 4, To: Machine on port 10000
2025-03-04 06:59:17,742 - RECEIVE - System Time: 2025-03-04 06:59:17.742319, Logical Clock: 24, Queue Length: 0, From: Machine 1
2025-03-04 06:59:18,747 - RECEIVE - System Time: 2025-03-04 06:59:18.747720, Logical Clock: 27, Queue Length: 0, From: Machine 1
2025-03-04 06:59:19,752 - RECEIVE - System Time: 2025-03-04 06:59:19.752625, Logical Clock: 31, Queue Length: 1, From: Machine 1
2025-03-04 06:59:20,758 - RECEIVE - System Time: 2025-03-04 06:59:20.758070, Logical Clock: 33, Queue Length: 0, From: Machine 1
2025-03-04 06:59:21,760 - INTERNAL - System Time: 2025-03-04 06:59:21.760139, Logical Clock: 34
2025-03-04 06:59:22,766 - RECEIVE - System Time: 2025-03-04 06:59:22.765918, Logical Clock: 50, Queue Length: 2, From: Machine 1
2025-03-04 06:59:23,771 - RECEIVE - System Time: 2025-03-04 06:59:23.770790, Logical Clock: 51, Queue Length: 3, From: Machine 1
2025-03-04 06:59:24,776 - RECEIVE - System Time: 2025-03-04 06:59:24.776571, Logical Clock: 52, Queue Length: 3, From: Machine 1
2025-03-04 06:59:25,780 - RECEIVE - System Time: 2025-03-04 06:59:25.780544, Logical Clock: 55, Queue Length: 4, From: Machine 1
2025-03-04 06:59:26,785 - RECEIVE - System Time: 2025-03-04 06:59:26.785471, Logical Clock: 60, Queue Length: 3, From: Machine 1
2025-03-04 06:59:27,792 - RECEIVE - System Time: 2025-03-04 06:59:27.791838, Logical Clock: 63, Queue Length: 2, From: Machine 1
2025-03-04 06:59:28,802 - RECEIVE - System Time: 2025-03-04 06:59:28.802199, Logical Clock: 71, Queue Length: 2, From: Machine 1
2025-03-04 06:59:29,812 - RECEIVE - System Time: 2025-03-04 06:59:29.812259, Logical Clock: 72, Queue Length: 1, From: Machine 1
2025-03-04 06:59:30,818 - RECEIVE - System Time: 2025-03-04 06:59:30.817712, Logical Clock: 84, Queue Length: 2, From: Machine 1
2025-03-04 06:59:31,821 - RECEIVE - System Time: 2025-03-04 06:59:31.821533, Logical Clock: 97, Queue Length: 3, From: Machine 1
2025-03-04 06:59:32,827 - RECEIVE - System Time: 2025-03-04 06:59:32.827255, Logical Clock: 98, Queue Length: 3, From: Machine 1
2025-03-04 06:59:33,828 - RECEIVE - System Time: 2025-03-04 06:59:33.828074, Logical Clock: 105, Queue Length: 2, From: Machine 1
2025-03-04 06:59:34,833 - RECEIVE - System Time: 2025-03-04 06:59:34.833662, Logical Clock: 106, Queue Length: 2, From: Machine 1
2025-03-04 06:59:35,839 - RECEIVE - System Time: 2025-03-04 06:59:35.839510, Logical Clock: 112, Queue Length: 3, From: Machine 1
2025-03-04 06:59:36,842 - RECEIVE - System Time: 2025-03-04 06:59:36.842907, Logical Clock: 125, Queue Length: 4, From: Machine 1
2025-03-04 06:59:37,845 - RECEIVE - System Time: 2025-03-04 06:59:37.845302, Logical Clock: 127, Queue Length: 3, From: Machine 1
2025-03-04 06:59:38,846 - RECEIVE - System Time: 2025-03-04 06:59:38.846101, Logical Clock: 129, Queue Length: 2, From: Machine 1
2025-03-04 06:59:39,849 - RECEIVE - System Time: 2025-03-04 06:59:39.848774, Logical Clock: 133, Queue Length: 1, From: Machine 1
2025-03-04 06:59:40,855 - RECEIVE - System Time: 2025-03-04 06:59:40.854962, Logical Clock: 135, Queue Length: 3, From: Machine 1
2025-03-04 06:59:41,858 - RECEIVE - System Time: 2025-03-04 06:59:41.857963, Logical Clock: 156, Queue Length: 2, From: Machine 1
2025-03-04 06:59:42,863 - RECEIVE - System Time: 2025-03-04 06:59:42.863718, Logical Clock: 157, Queue Length: 2, From: Machine 1
2025-03-04 06:59:43,867 - RECEIVE - System Time: 2025-03-04 06:59:43.867806, Logical Clock: 159, Queue Length: 3, From: Machine 1
2025-03-04 06:59:44,871 - RECEIVE - System Time: 2025-03-04 06:59:44.871353, Logical Clock: 170, Queue Length: 2, From: Machine 1
2025-03-04 06:59:45,881 - RECEIVE - System Time: 2025-03-04 06:59:45.876583, Logical Clock: 176, Queue Length: 4, From: Machine 1
2025-03-04 06:59:46,885 - RECEIVE - System Time: 2025-03-04 06:59:46.885777, Logical Clock: 177, Queue Length: 3, From: Machine 1
2025-03-04 06:59:47,889 - RECEIVE - System Time: 2025-03-04 06:59:47.889654, Logical Clock: 184, Queue Length: 3, From: Machine 1
2025-03-04 06:59:48,894 - RECEIVE - System Time: 2025-03-04 06:59:48.894320, Logical Clock: 185, Queue Length: 4, From: Machine 1
2025-03-04 06:59:49,897 - RECEIVE - System Time: 2025-03-04 06:59:49.896891, Logical Clock: 188, Queue Length: 3, From: Machine 1
2025-03-04 06:59:50,898 - RECEIVE - System Time: 2025-03-04 06:59:50.898316, Logical Clock: 196, Queue Length: 3, From: Machine 1
2025-03-04 06:59:51,904 - RECEIVE - System Time: 2025-03-04 06:59:51.904179, Logical Clock: 203, Queue Length: 3, From: Machine 1
2025-03-04 06:59:52,966 - RECEIVE - System Time: 2025-03-04 06:59:52.966417, Logical Clock: 205, Queue Length: 3, From: Machine 1
2025-03-04 06:59:53,968 - RECEIVE - System Time: 2025-03-04 06:59:53.967697, Logical Clock: 218, Queue Length: 4, From: Machine 1
2025-03-04 06:59:54,971 - RECEIVE - System Time: 2025-03-04 06:59:54.971792, Logical Clock: 222, Queue Length: 4, From: Machine 1
2025-03-04 06:59:55,974 - RECEIVE - System Time: 2025-03-04 06:59:55.974379, Logical Clock: 228, Queue Length: 4, From: Machine 1
2025-03-04 06:59:56,979 - RECEIVE - System Time: 2025-03-04 06:59:56.979316, Logical Clock: 235, Queue Length: 6, From: Machine 1
2025-03-04 06:59:57,984 - RECEIVE - System Time: 2025-03-04 06:59:57.984094, Logical Clock: 236, Queue Length: 5, From: Machine 1
2025-03-04 06:59:58,986 - RECEIVE - System Time: 2025-03-04 06:59:58.986304, Logical Clock: 238, Queue Length: 6, From: Machine 1
2025-03-04 06:59:59,988 - RECEIVE - System Time: 2025-03-04 06:59:59.988113, Logical Clock: 243, Queue Length: 6, From: Machine 1
2025-03-04 07:00:00,989 - RECEIVE - System Time: 2025-03-04 07:00:00.988948, Logical Clock: 249, Queue Length: 6, From: Machine 1
2025-03-04 07:00:01,990 - RECEIVE - System Time: 2025-03-04 07:00:01.989977, Logical Clock: 250, Queue Length: 6, From: Machine 1
2025-03-04 07:00:02,994 - RECEIVE - System Time: 2025-03-04 07:00:02.993770, Logical Clock: 251, Queue Length: 6, From: Machine 2
2025-03-04 07:00:03,996 - RECEIVE - System Time: 2025-03-04 07:00:03.996309, Logical Clock: 252, Queue Length: 5, From: Machine 2
2025-03-04 07:00:05,001 - RECEIVE - System Time: 2025-03-04 07:00:05.001192, Logical Clock: 264, Queue Length: 6, From: Machine 1
2025-03-04 07:00:06,012 - RECEIVE - System Time: 2025-03-04 07:00:06.006740, Logical Clock: 271, Queue Length: 8, From: Machine 1
2025-03-04 07:00:07,017 - RECEIVE - System Time: 2025-03-04 07:00:07.017572, Logical Clock: 274, Queue Length: 8, From: Machine 1
2025-03-04 07:00:08,021 - RECEIVE - System Time: 2025-03-04 07:00:08.021616, Logical Clock: 275, Queue Length: 8, From: Machine 2
2025-03-04 07:00:09,027 - RECEIVE - System Time: 2025-03-04 07:00:09.027200, Logical Clock: 284, Queue Length: 8, From: Machine 1
2025-03-04 07:00:10,028 - RECEIVE - System Time: 2025-03-04 07:00:10.028091, Logical Clock: 299, Queue Length: 7, From: Machine 1
2025-03-04 07:00:11,030 - RECEIVE - System Time: 2025-03-04 07:00:11.030080, Logical Clock: 301, Queue Length: 7, From: Machine 1
2025-03-04 07:00:12,034 - RECEIVE - System Time: 2025-03-04 07:00:12.034723, Logical Clock: 302, Queue Length: 8, From: Machine 1
2025-03-04 07:00:13,040 - RECEIVE - System Time: 2025-03-04 07:00:13.039959, Logical Clock: 303, Queue Length: 9, From: Machine 1
