2025-03-04 10:27:06,002 - Virtual Machine 3 initialized
2025-03-04 10:27:06,002 - Clock Rate: 1 ticks/second
2025-03-04 10:27:06,002 - Listening on port: 10002
2025-03-04 10:27:06,002 - Peer ports: [10000, 10001]
2025-03-04 10:27:06,003 - Connected to peer on port 10000
2025-03-04 10:27:06,003 - Connected to peer on port 10001
2025-03-04 10:27:06,003 - Network initialization completed
2025-03-04 10:27:06,003 - Starting main event loop
2025-03-04 10:27:06,003 - Clock rate: 1 ticks/second
2025-03-04 10:27:06,004 - INTERNAL - System Time: 2025-03-04 10:27:06.004019, Logical Clock: 1
2025-03-04 10:27:06,010 - Accepted connection from ('127.0.0.1', 61426)
2025-03-04 10:27:06,490 - Accepted connection from ('127.0.0.1', 61427)
2025-03-04 10:27:07,009 - RECEIVE - System Time: 2025-03-04 10:27:07.009093, Logical Clock: 5, Queue Length: 1, From: Machine 1
2025-03-04 10:27:08,014 - RECEIVE - System Time: 2025-03-04 10:27:08.014345, Logical Clock: 6, Queue Length: 0, From: Machine 1
2025-03-04 10:27:09,014 - RECEIVE - System Time: 2025-03-04 10:27:09.014678, Logical Clock: 18, Queue Length: 0, From: Machine 1
2025-03-04 10:27:10,019 - RECEIVE - System Time: 2025-03-04 10:27:10.019801, Logical Clock: 23, Queue Length: 1, From: Machine 1
2025-03-04 10:27:11,024 - RECEIVE - System Time: 2025-03-04 10:27:11.024949, Logical Clock: 25, Queue Length: 1, From: Machine 1
2025-03-04 10:27:12,030 - RECEIVE - System Time: 2025-03-04 10:27:12.030118, Logical Clock: 28, Queue Length: 1, From: Machine 1
2025-03-04 10:27:13,035 - RECEIVE - System Time: 2025-03-04 10:27:13.035404, Logical Clock: 36, Queue Length: 1, From: Machine 1
2025-03-04 10:27:14,041 - RECEIVE - System Time: 2025-03-04 10:27:14.040670, Logical Clock: 43, Queue Length: 2, From: Machine 1
2025-03-04 10:27:15,047 - RECEIVE - System Time: 2025-03-04 10:27:15.047618, Logical Clock: 44, Queue Length: 2, From: Machine 1
2025-03-04 10:27:16,054 - RECEIVE - System Time: 2025-03-04 10:27:16.053745, Logical Clock: 45, Queue Length: 3, From: Machine 2
2025-03-04 10:27:17,057 - RECEIVE - System Time: 2025-03-04 10:27:17.057494, Logical Clock: 50, Queue Length: 4, From: Machine 1
