2025-03-04 09:59:43,315 - Virtual Machine 2 initialized
2025-03-04 09:59:43,315 - Clock Rate: 1 ticks/second
2025-03-04 09:59:43,316 - Listening on port: 10001
2025-03-04 09:59:43,316 - Peer ports: [10000, 10002]
2025-03-04 09:59:43,317 - Connected to peer on port 10000
2025-03-04 09:59:43,809 - Accepted connection from ('127.0.0.1', 56377)
2025-03-04 09:59:43,820 - Accepted connection from ('127.0.0.1', 56380)
2025-03-04 09:59:44,324 - Connected to peer on port 10002
2025-03-04 09:59:44,325 - Network initialization completed
2025-03-04 09:59:44,325 - Starting main event loop
2025-03-04 09:59:44,325 - Clock rate: 1 ticks/second
2025-03-04 09:59:44,325 - RECEIVE - System Time: 2025-03-04 09:59:44.325657, Logical Clock: 3, Queue Length: 0, From: Machine 3
2025-03-04 09:59:45,330 - RECEIVE - System Time: 2025-03-04 09:59:45.330779, Logical Clock: 4, Queue Length: 0, From: Machine 1
2025-03-04 09:59:46,336 - RECEIVE - System Time: 2025-03-04 09:59:46.336193, Logical Clock: 6, Queue Length: 2, From: Machine 1
2025-03-04 09:59:47,341 - RECEIVE - System Time: 2025-03-04 09:59:47.340860, Logical Clock: 9, Queue Length: 2, From: Machine 1
2025-03-04 09:59:48,346 - RECEIVE - System Time: 2025-03-04 09:59:48.346043, Logical Clock: 10, Queue Length: 3, From: Machine 1
2025-03-04 09:59:49,348 - RECEIVE - System Time: 2025-03-04 09:59:49.348688, Logical Clock: 15, Queue Length: 3, From: Machine 1
2025-03-04 09:59:50,353 - RECEIVE - System Time: 2025-03-04 09:59:50.353868, Logical Clock: 20, Queue Length: 2, From: Machine 1
2025-03-04 09:59:51,356 - RECEIVE - System Time: 2025-03-04 09:59:51.356675, Logical Clock: 22, Queue Length: 4, From: Machine 1
2025-03-04 09:59:52,362 - RECEIVE - System Time: 2025-03-04 09:59:52.362027, Logical Clock: 23, Queue Length: 5, From: Machine 1
2025-03-04 09:59:53,368 - RECEIVE - System Time: 2025-03-04 09:59:53.368726, Logical Clock: 37, Queue Length: 4, From: Machine 1
2025-03-04 09:59:54,372 - RECEIVE - System Time: 2025-03-04 09:59:54.372292, Logical Clock: 38, Queue Length: 5, From: Machine 1
2025-03-04 09:59:55,377 - RECEIVE - System Time: 2025-03-04 09:59:55.377709, Logical Clock: 40, Queue Length: 5, From: Machine 1
